issue_id,record_status,owner_action,waiver_enabled,waiver_name,owner_comment,filter_mode,filter_fields,custom_filter,ip_owner,reviewer,reviewer_decision,reviewer_comment,tag,severity,goal,module,file,line,hierarchy,object,statement,description,violation,source_report,waiver_user,waiver_timestamp,filter_json,fields_json
DeadCode-ML_3a66f0d939c6,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_BD,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_BD.v,418,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_BD,,if (~I_RESETN) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:739,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:739"", ""Module"": ""AESDMA_BD"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_BD"", ""Statement"": ""        if (~I_RESETN) begin"", ""LineRange"": ""418-421"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_BD.v"", ""LineNumber"": ""418"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_e84cae0edf25,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DATAGEN,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DATAGEN.v,301,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DATAGEN,,if (!I_RESETN) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:740,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:740"", ""Module"": ""AESDMA_DATAGEN"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DATAGEN"", ""Statement"": ""    if (!I_RESETN) begin"", ""LineRange"": ""301-303"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DATAGEN.v"", ""LineNumber"": ""301"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_7fbcfb987ea2,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DOORBELL,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v,172,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL,,if (i == r_last_active_bd_num) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:741,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:741"", ""Module"": ""AESDMA_DOORBELL"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL"", ""Statement"": ""                    if (i == r_last_active_bd_num) begin"", ""LineRange"": ""172-174"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v"", ""LineNumber"": ""172"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_4061be3b213d,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DOORBELL,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v,184,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL,,if (i == r_last_active_bd_num) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:742,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:742"", ""Module"": ""AESDMA_DOORBELL"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL"", ""Statement"": ""                    if (i == r_last_active_bd_num) begin"", ""LineRange"": ""184-186"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v"", ""LineNumber"": ""184"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_37ccad7cafff,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DOORBELL,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v,193,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL,,if (i == r_last_active_bd_num) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:743,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:743"", ""Module"": ""AESDMA_DOORBELL"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL"", ""Statement"": ""                    if (i == r_last_active_bd_num) begin"", ""LineRange"": ""193-195"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v"", ""LineNumber"": ""193"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_5355615cf12e,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DOORBELL,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v,201,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL,,if (i == r_last_active_bd_num) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:744,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:744"", ""Module"": ""AESDMA_DOORBELL"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL"", ""Statement"": ""                if (i == r_last_active_bd_num) begin"", ""LineRange"": ""201-203"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v"", ""LineNumber"": ""201"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_f4b3854a503a,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_DOORBELL,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v,305,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL,,end else begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:745,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:745"", ""Module"": ""AESDMA_DOORBELL"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_DOORBELL"", ""Statement"": ""            end else begin"", ""LineRange"": ""305-307"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_DOORBELL.v"", ""LineNumber"": ""305"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_515337bfea90,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_RDCORE,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_RDCORE.sv,239,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_RDCORE,,if (~I_RESETN) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:746,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:746"", ""Module"": ""AESDMA_RDCORE"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_RDCORE"", ""Statement"": ""    if (~I_RESETN) begin"", ""LineRange"": ""239-241"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_RDCORE.sv"", ""LineNumber"": ""239"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_097ffa5f22ec,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_RD_DESC,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_RD_DESC.sv,142,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_RD_DESC,,if (~I_RESETN) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:747,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:747"", ""Module"": ""AESDMA_RD_DESC"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_RD_DESC"", ""Statement"": ""    if (~I_RESETN) begin"", ""LineRange"": ""142-144"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_RD_DESC.sv"", ""LineNumber"": ""142"", ""Goal"": ""BOS_LINT_RULE""}"
DeadCode-ML_51ab66d6b498,UNCHANGED,WAIVED,yes,DeadCode-ML_740,Dead Code LINT warning,CUSTOM,,"(Goal == ""BOS_LINT_RULE"") AND (Module == ""AESDMA_DATAGEN"")",,,PENDING,,DeadCode-ML,warning,BOS_LINT_RULE,AESDMA_WRCORE,/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_WRCORE.sv,255,u_AESDMA_TOP.u_aesdma_top.u_AESDMA_WRCORE,,if (~I_RESETN) begin,Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable.,Lint:748,waived,pnson,N/A,"{""Goal"": ""BOS_LINT_RULE"", ""Module"": ""AESDMA_DATAGEN""}","{""Tag"": ""DeadCode-ML"", ""Description"": ""Dead code exists as the block in file '[FileName]' at line(s) '[LineRange]' is not reachable."", ""Violation"": ""Lint:748"", ""Module"": ""AESDMA_WRCORE"", ""HIERARCHY"": ""u_AESDMA_TOP.u_aesdma_top.u_AESDMA_WRCORE"", ""Statement"": ""    if (~I_RESETN) begin"", ""LineRange"": ""255-259"", ""FileName"": ""/storage/project/atlas/design/user/pnson/ATLAS_WORKING/IP/AESDMA/RTL/AESDMA_CORE/AESDMA_WRCORE.sv"", ""LineNumber"": ""255"", ""Goal"": ""BOS_LINT_RULE""}"
