record_status,review_status,tag,count
ACTIVE,UNREVIEWED,PragmaComments-ML,2
ACTIVE,UNREVIEWED,RegInputOutput-ML,701
ACTIVE,UNREVIEWED,ReportPortInfo-ML,1
ACTIVE,UNREVIEWED,W216,1
ACTIVE,UNREVIEWED,W240,3
ACTIVE,UNREVIEWED,W415a,1
ACTIVE,UNREVIEWED,W528,9
ACTIVE,WAIVED,DeadCode-ML,5
ACTIVE,WAIVED,NotReachableFsmState,3
ACTIVE,WAIVED,STARC05-2.11.3.1,1
ACTIVE,WAIVED,STARC05-2.2.3.3,1
ACTIVE,WAIVED,STARC05-3.3.1.4b,4
ACTIVE,WAIVED,W164a,12
ACTIVE,WAIVED,W240,8
ACTIVE,WAIVED,W287b,23
ACTIVE,WAIVED,W415a,20
ACTIVE,WAIVED,W528,42
ACTIVE,WAIVED,W551,1
